index,year,title,authors,venue,doi,cited_by_count_openalex,openalex_id,pdf_url,pdf_file,relevance_score
1,1990,Active control of stationary random sound fields,P.A. Nelson; J.K. Hammond; P.F. Joseph; S.J. Elliott,The Journal of the Acoustical Society of America,10.1121/1.399432,23,https://openalex.org/W2051164404,,,13.23
2,1990,The development of the filtered-U algorithm for active noise control,L. J. Eriksson,The Journal of the Acoustical Society of America,10.1121/1.2028384,178,https://openalex.org/W2131220119,https://asa.scitation.org/doi/pdf/10.1121/1.2028384,,14.28
3,1991,Current and future issues of active noise control.,Jiří Tichý,Journal of the Acoustical Society of Japan (E),10.1250/ast.12.255,22,https://openalex.org/W2035356557,https://www.jstage.jst.go.jp/article/ast1980/12/6/12_6_255/_pdf,003_1991_Tichý_current_and_future_issues_of_active_noise_control.pdf,14.72
4,1991,Effect of errors in the plant model on the performance of algorithms for adaptive feedforward control,C.C. Boucher; Stephen N. Elliott; P.A. Nelson,IEE Proceedings F Radar and Signal Processing,10.1049/ip-f-2.1991.0042,83,https://openalex.org/W1998213224,,,18.83
5,1992,Active Control of Compressor Noise Radiation Using Piezoelectric Actuators,Alan R. Masters; S. J. Kim; James D. Jones,Purdue e-Pubs (Purdue University System),,4,https://openalex.org/W1492927963,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1821&context=icec,,14.54
6,1992,Active Noise Control: A Tutorial Review,P.A. Nelson; Stephen J. Elliott,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,,781,https://openalex.org/W3169801697,,,13.0
7,1993,A new approach for active control of sound transmission through an elastic plate backed by a rectangular cavity,Shozo Koshigoe; J. Gillis; Eric T. Falangas,The Journal of the Acoustical Society of America,10.1121/1.408191,37,https://openalex.org/W1985214060,,,14.87
8,1993,Active noise control,Stephen N. Elliott; P.A. Nelson,IEEE Signal Processing Magazine,10.1109/79.248551,832,https://openalex.org/W2080773601,,,15.0
9,1994,Single-sensor active noise cancellation,Alan V. Oppenheim; E. Weinstein; K.C. Zangi; Meir Feder; Dan Gauger,IEEE Transactions on Speech and Audio Processing,10.1109/89.279277,82,https://openalex.org/W1990408204,,,10.82
10,1995,Analysis of the filtered-X LMS algorithm,E. Bjarnason,IEEE Transactions on Speech and Audio Processing,10.1109/89.482218,260,https://openalex.org/W2133635346,,,15.6
11,1996,Passband disturbance reduction in periodic active noise control systems,S.M. Kuo; Min-Woo Ji,IEEE Transactions on Speech and Audio Processing,10.1109/89.486059,39,https://openalex.org/W2074965838,,,14.89
12,1997,Filtered-X second-order Volterra adaptive algorithms,Tân; Jiang Jiang,Electronics Letters,10.1049/el:19970477,58,https://openalex.org/W2029915997,,,14.58
13,1998,Active control of nonlinear noise processes in a linear duct,P. Strauch; B. Mulgrew,IEEE Transactions on Signal Processing,10.1109/78.709529,135,https://openalex.org/W2103103563,,,15.85
14,1999,Fast implementations of the filtered-X LMS and LMS algorithms for multichannel active noise control,S.C. Douglas,IEEE Transactions on Speech and Audio Processing,10.1109/89.771315,100,https://openalex.org/W2111276053,,,17.0
15,2000,Active Noise Feedback Control Using a Neural Network,Zhang Qizhi; Jia Yongle,Shock and Vibration,10.1155/2001/604583,5,https://openalex.org/W1978817102,https://downloads.hindawi.com/journals/sv/2001/604583.pdf,,17.05
16,2001,Adaptive Volterra filters for active control of nonlinear noise processes,Li Tan; Jean Jiang,IEEE Transactions on Signal Processing,10.1109/78.934136,355,https://openalex.org/W2169692087,,,25.55
17,2002,Nonlinear active noise control in a linear duct,P. Strauch; B. Mulgrew,,10.1109/icassp.1997.599656,6,https://openalex.org/W2112813264,,,18.56
18,2003,Active noise cancellation using recurrent radial basis function neural networks,R. Bambang,Asia Pacific Conference on Circuits and Systems,10.1109/apccas.2002.1115201,7,https://openalex.org/W1582480406,,,20.07
19,2004,Active Mitigation of Nonlinear Noise Processes Using a Novel Filtered-s LMS Algorithm,Debi Prasad Das; Ganapati Panda,IEEE Transactions on Speech and Audio Processing,10.1109/tsa.2003.822741,267,https://openalex.org/W2123193976,,,23.17
20,2005,Nonlinear adaptive bilinear filters for active noise control systems,S.M. Kuo; Hsien–Tsai Wu,IEEE Transactions on Circuits and Systems I Fundamental Theory and Applications,10.1109/tcsi.2004.842429,128,https://openalex.org/W2104917784,,,21.78
21,2006,Genetic Optimization in Nonlinear Systems for Active Noise Control: Accuracy and Performance Evaluation,F. Russo,Conference proceedings - IEEE Instrumentation/Measurement Technology Conference,10.1109/imtc.2006.236682,9,https://openalex.org/W2154525087,,,22.09
22,2007,Accuracy and Performance Evaluation in the Genetic Optimization of Nonlinear Systems for Active Noise Control,F. Russo; Giovanni L. Sicuranza,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2007.899911,56,https://openalex.org/W2119308558,,,22.56
23,2008,An Energy Function Based Fuzzy Variable Step Size FxLMS Algorithm for Active Noise Control,Naresh kunchakoori; Aurobinda Routray; Devadatta Das,,10.1109/iciinfs.2008.4798476,14,https://openalex.org/W2539406560,,,20.14
24,2009,Adaptive second-order Volterra filtered-X RLS algorithms with sequential and partial updates for nonlinear active noise control,Li Tan; Jean Jiang,,10.1109/iciea.2009.5138470,29,https://openalex.org/W2122438863,,,18.79
25,2010,A novel active noise control using neural networks without the secondary path identification,Xinghua Zhang; Xuemei Ren,,10.1109/wcica.2010.5554646,1,https://openalex.org/W2020620469,,,15.51
26,2010,Active Noise Cancellation Without Secondary Path Identification by Using an Adaptive Genetic Algorithm,Cheng‐Yuan Chang; Deng-Rui Chen,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2009.2036410,104,https://openalex.org/W2114115507,,,23.04
27,2010,Active Noise Control Algorithm Based on a Neural Network and Nonlinear Input-Output System Identification Model,T. Krukowicz,Archives of Acoustics,10.2478/v10168-010-0018-0,17,https://openalex.org/W2010352567,,,14.17
28,2010,Multi-channel hybrid active noise control system for infant incubators,Kapila Beemanpally; Karunakar Reddy Pottim; Sen M. Kuo,,10.1109/eit.2010.5612171,5,https://openalex.org/W1986584224,,,14.05
29,2010,Nonlinear active noise control based on neural networks compensation,Xinghua Zhang; Xue Mei Ren; Jing Na,Explore Bristol Research,,0,https://openalex.org/W1763190816,,,15.5
30,2011,Active Control of Vehicle Powertrain and Road Noise,Jie Duan,OhioLink ETD Center (Ohio Library and Information Network),,11,https://openalex.org/W68493082,http://rave.ohiolink.edu/etdc/view?acc_num=ucin1312479913,,18.61
31,2011,Adaptive Extended Pipelined Second-Order Volterra Filter for Nonlinear Active Noise Controller,Haiquan Zhao; Xiangping Zeng; Xiaoqiang Zhang; Zhengyou He; Tianrui Li; Weidong Zhao,IEEE Transactions on Audio Speech and Language Processing,10.1109/tasl.2011.2175383,42,https://openalex.org/W2089464789,,,19.42
32,2011,Legendre Neural Network for nonlinear Active Noise Cancellation with nonlinear secondary path,Kunal Kumar Das; J.K. Satapathy,,10.1109/mspct.2011.6150515,14,https://openalex.org/W2070289601,,,18.64
33,2011,On the BIBO Stability Condition of Adaptive Recursive FLANN Filters With Application to Nonlinear Active Noise Control,Giovanni L. Sicuranza; Alberto Carini,IEEE Transactions on Audio Speech and Language Processing,10.1109/tasl.2011.2159788,82,https://openalex.org/W2155220711,,,19.82
34,2011,Recursive controllers for nonlinear active noise control,Giovanni L. Sicuranza; Alberto Carini,ArTS Archivio della ricerca di Trieste (University of Trieste https://www.units.it/),,5,https://openalex.org/W1606400646,,,20.05
35,2012,A nonlinear active noise control algorithm for virtual microphones controlling chaotic noise,Debi Prasad Das; Danielle Moreau; Benjamin Cazzolato,The Journal of the Acoustical Society of America,10.1121/1.4731227,20,https://openalex.org/W2066100156,,,15.7
36,2012,A Particle-Swarm-Optimization-Based Decentralized Nonlinear Active Noise Control System,Nithin V. George; Ganapati Panda,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2012.2205492,87,https://openalex.org/W2036022564,,,18.37
37,2012,Adaptive Fractional Fourier Domain Filtering in Active Noise Control,Sultan Aldrmaz; Ltfiye DurakAt,InTech eBooks,10.5772/26973,1,https://openalex.org/W1514442637,https://www.intechopen.com/citation-pdf-url/31193,037_2012_Aldrmaz_adaptive_fractional_fourier_domain_filtering_in_active_noise_control.pdf,20.01
38,2012,Convex Combination Filtered-X Algorithms for Active Noise Control Systems,Miguel Ferrer; Alberto González; María de Diego; Gema Piñero,IEEE Transactions on Audio Speech and Language Processing,10.1109/tasl.2012.2215595,76,https://openalex.org/W2015783867,,,16.76
39,2012,Filtered gradient active fuzzy neural network noise control in an enclosure backed by a clamped plate,Navid Azadi; Abdolreza Ohadi,International Journal of Adaptive Control and Signal Processing,10.1002/acs.1298,7,https://openalex.org/W1517668074,,,20.57
40,2013,A dual filtering scheme for nonlinear active noise control,Diego Delvecchio; Luigi Piroddi,International Journal of Adaptive Control and Signal Processing,10.1002/acs.2452,3,https://openalex.org/W1517047376,,,14.53
41,2013,Active Noise Control with a Single Nonlinear Control Filter for a Vibrating Plate with Multiple Actuators,Krzysztof Mazur; Marek Pawełczyk,Archives of Acoustics,10.2478/aoa-2013-0063,22,https://openalex.org/W2019150924,http://journals.pan.pl/Content/101558/PDF/11_paper.pdf,041_2013_Mazur_active_noise_control_with_a_single_nonlinear_control_filter_for_a_vibr.pdf,17.22
42,2013,Convex combination of nonlinear adaptive filters for active noise control,Nithin V. George; Alberto González,Applied Acoustics,10.1016/j.apacoust.2013.08.005,70,https://openalex.org/W2034392677,,,15.2
43,2013,Multichannel FSLMS algorithm based active headrest,Debi Prasad Das; Danielle Moreau; Benjamin Cazzolato,,10.1109/icaes.2013.6659361,1,https://openalex.org/W2054957423,,,18.51
44,2013,Nonlinear feedback active noise control for broadband chaotic noise,Suman Bala Behera; Debi Prasad Das; Nirmal Kumar Rout,Applied Soft Computing,10.1016/j.asoc.2013.10.025,31,https://openalex.org/W1964239423,,,14.81
45,2014,Adaptive feedback active noise control using wavelet frames: simulation and experimental results,Mahdi Akraminia; M. J. Mahjoob,Journal of Vibration and Control,10.1177/1077546314545835,11,https://openalex.org/W2030837240,,,18.61
46,2014,Feedforward Active Noise Control With a New Variable Tap-Length and Step-Size Filtered-X LMS Algorithm,Dah‐Chung Chang; Fei-Tao Chu,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2013.2297016,54,https://openalex.org/W2060803026,,,15.04
47,2014,GPU Implementation of Multichannel Adaptive Algorithms for Local Active Noise Control,Jorge Lorente; Miguel Ferrer; María de Diego; Alberto González,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2014.2344852,51,https://openalex.org/W2039430460,,,16.51
48,2014,Loudspeaker nonlinearity compensation with inverse tangent hyperbolic function-based predistorter for active noise control,Mouayad A. Sahib; Raja Kamil,Transactions of the Institute of Measurement and Control,10.1177/0142331214527602,8,https://openalex.org/W2076753422,,,15.58
49,2014,NONLINEAR NARROWBAND ACTIVE NOISE CONTROL USING VOLTERRA FILTER,Jian Liu; Qi Jing; Yegui Xiao,,,1,https://openalex.org/W2181576697,,,18.51
50,2015,A novel ANC system using nonlinear error LMS algorithm,Gaurav Singh; Ganapati Panda,,10.1109/pcitc.2015.7438224,1,https://openalex.org/W2556388208,,,18.51
51,2015,Adaptive Volterra filter with continuous lp-norm using a logarithmic cost for nonlinear active noise control,Lu Lu; Haiquan Zhao,Journal of Sound and Vibration,10.1016/j.jsv.2015.11.029,66,https://openalex.org/W2185170263,,,16.66
52,2015,An advanced feedback Filtered-x least mean square algorithm for wideband noise removal,Shibalik Mohapatra; Asutosh Kar,,10.1109/ecticon.2015.7207100,4,https://openalex.org/W1592777605,,,17.04
53,2015,Multichannel active control of nonlinear noise processes using diagonal structure bilinear FXLMS algorithm,Dong Chen; Ding Yuan; Li Tan; Sidan Du,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",10.1117/12.2228585,2,https://openalex.org/W2257990495,,,18.52
54,2015,Nonlinear Thf‐Fxlms Algorithm For Active Noise Control With Loudspeaker Nonlinearity,Sepehr Ghasemi; Raja Kamil; Mohammad Hamiruce Marhaban,Asian Journal of Control,10.1002/asjc.1140,28,https://openalex.org/W1936928165,,,17.28
55,2016,Adaptive even mirror Fourier filtered error LMS algorithm for multichannel nonlinear active noise control,Xinnian Guo; Chen Dong; Li Tan; Sidan Du,,10.1109/iemcon.2016.7746248,4,https://openalex.org/W2559609459,,,20.04
56,2016,Adaptive variable step-size neural controller for nonlinear feedback active noise control systems,Nguyen Le Thai; Xing Wu; Jing Na; Yu Guo; Nguyen Thi Trung Tin; Phan Xuan Le,Applied Acoustics,10.1016/j.apacoust.2016.09.022,23,https://openalex.org/W2536668569,,,17.73
57,2016,Denoise based Algorithm for Active Noise Control Systems using Genetic Algorithm,P Narendra Babu; C. Rajasekaran,Asian Journal of Research in Social Sciences and Humanities,10.5958/2249-7315.2016.00554.2,0,https://openalex.org/W2464926900,,,17.0
58,2016,Design of dynamic linear-in-the-parameters nonlinear filters for active noise control,Vinal Patel; Nithin V. George,,10.1109/eusipco.2016.7760201,16,https://openalex.org/W2565805362,,,17.16
59,2016,Improved functional link artificial neural network via convex combination for nonlinear active noise control,Haiquan Zhao; Xiangping Zeng; Zhengyou He; Shujian Yu; Badong Chen,Applied Soft Computing,10.1016/j.asoc.2016.01.051,58,https://openalex.org/W2257860123,,,16.58
60,2017,A bilinear functional link artificial neural network filter for nonlinear active noise control and its stability condition,Dinh Cong Le; Jiashu Zhang; Yanjie Pang,Applied Acoustics,10.1016/j.apacoust.2017.10.023,48,https://openalex.org/W2769151994,,,16.48
61,2017,A New FXLMS Algorithm With Offline and Online Secondary-Path Modeling Scheme for Active Noise Control of Power Transformers,Tong Zhao; Jiabi Liang; Liang Zou; Li Zhang,IEEE Transactions on Industrial Electronics,10.1109/tie.2017.2682043,64,https://openalex.org/W2595807371,,,18.14
62,2017,Distributed Affine Projection Algorithm Over Acoustically Coupled Sensor Networks,Miguel Ferrer; Alberto González; María de Diego; Gema Piñero,IEEE Transactions on Signal Processing,10.1109/tsp.2017.2742987,45,https://openalex.org/W2746354953,,,13.45
63,2017,NLFXLMS and THF‐NLFXLMS Algorithms for Wiener‐Hammerstein Nonlinear Active Noise Control,Radik Srazhidinov; Raja Kamil; Samsul Bahari Mohd Noor,Asian Journal of Control,10.1002/asjc.1503,8,https://openalex.org/W2613117696,,,17.08
64,2017,Statistical-mechanical analysis of the FXLMS algorithm for multiple-channel active noise control,Tomoki Murata; Yoshinobu Kajikawa; Seiji Miyoshi,,10.1109/apsipa.2017.8282015,5,https://openalex.org/W2786916643,,,14.05
65,2018,A generalized exponential functional link artificial neural networks filter with channel-reduced diagonal structure for nonlinear active noise control,Dinh Cong Le; Jiashu Zhang; Defang Li; Sheng Zhang,Applied Acoustics,10.1016/j.apacoust.2018.04.020,42,https://openalex.org/W2799450031,,,16.42
66,2018,Adaptive Function Expansion 3-D Diagonal-Structure Bilinear Filter for Active Noise Control of Saturation Nonlinearity,Xinnian Guo; Yang Li; Jean Jiang; Chen Dong; Sidan Du; Lizhe Tan,IEEE Access,10.1109/access.2018.2876509,14,https://openalex.org/W2896379992,,,22.14
67,2018,Kernel Filtered-x LMS Algorithm for Active Noise Control System with Nonlinear Primary Path,Yuqi Liu; Chao Sun; Shouda Jiang,Circuits Systems and Signal Processing,10.1007/s00034-018-0832-6,20,https://openalex.org/W2802257323,,,17.7
68,2018,Sparse Modeling of Nonlinear Secondary Path for Nonlinear Active Noise Control,Xinnian Guo; Yang Li; Jean Jiang; Chen Dong; Sidan Du; Li Tan,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2017.2781992,52,https://openalex.org/W2781506223,,,19.52
69,2019,Adaptive filter design for active noise cancellation using recurrent type-2 fuzzy brain emotional learning neural network,Tien-Loc Le; Tuân-Tú Huỳnh; Chih‐Min Lin,Neural Computing and Applications,10.1007/s00521-019-04366-8,21,https://openalex.org/W2964766557,,,15.71
70,2019,Efficient Implementation of Volterra Diagonal Bilinear Filter for Nonlinear Active Noise Control,Xinnian Guo; Jean Jiang; Lizhe Tan; Sidan Du,,10.1109/ccece.2019.8861988,2,https://openalex.org/W2979331648,,,18.52
71,2019,Hierarchical partial update generalized functional link artificial neural network filter for nonlinear active noise control,Dinh Cong Le; Jiashu Zhang; Defang Li,Digital Signal Processing,10.1016/j.dsp.2019.07.006,21,https://openalex.org/W2963398558,,,16.21
72,2019,Long Short-Term Memory and Convolutional Neural Networks for Active Noise Control,Samuel Park; Eric Patterson; C.W. Baum,,10.1109/icfsp48124.2019.8938042,15,https://openalex.org/W2997050494,,,17.15
73,2020,A Deep Recurrent Neural Network Controller For Nonlinear Active Noise Control Systems,Kun Zhang; Gangming Lyu; Xinming Luo,,10.1109/iccc51575.2020.9345164,4,https://openalex.org/W3132302680,,,20.54
74,2020,A Reduced Complexity Random Fourier Filter Based Nonlinear Multichannel Narrowband Active Noise Control System,Trisrota Deb; Dwaipayan Ray; Nithin V. George,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2020.3007999,21,https://openalex.org/W3041047404,,,22.71
75,2020,An Improved All-Pass Filtered x Least Mean Square Algorithm,Kuheli Mondal,International Journal of Advanced Trends in Computer Science and Engineering,10.30534/ijatcse/2020/2591.52020,1,https://openalex.org/W3088702058,https://doi.org/10.30534/ijatcse/2020/2591.52020,075_2020_Mondal_an_improved_all_pass_filtered_x_least_mean_square_algorithm.pdf,19.01
76,2020,Incremental Learning Based Adaptive Filter for Nonlinear Distributed Active Noise Control System,Ruchi Kukde; M. Sabarimalai Manikandan; Ganapati Panda,IEEE Open Journal of Signal Processing,10.1109/ojsp.2020.2975768,19,https://openalex.org/W3008986757,https://ieeexplore.ieee.org/ielx7/8782710/8818473/09006935.pdf,,19.69
77,2020,Robust Generalized Maximum Correntropy Criterion Algorithms for Active Noise Control,Yingying Zhu; Haiquan Zhao; Xiangping Zeng; Badong Chen,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2020.2982030,114,https://openalex.org/W3013192954,,,20.64
78,2020,Stochastic Analysis of the Filtered-x LMS Algorithm for Active Noise Control,Feiran Yang; Jianfeng Guo; Jun Yang,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2020.3012056,104,https://openalex.org/W3046019867,,,17.54
79,2021,A Secondary Path-Decoupled Active Noise Control Algorithm Based on Deep Learning,Daocheng Chen; Longbiao Cheng; Dingding Yao; Junfeng Li; Yonghong Yan,IEEE Signal Processing Letters,10.1109/lsp.2021.3130023,28,https://openalex.org/W3214919611,,,21.28
80,2021,Active Noise Cancellation of Rail Vehicles Based on a Convolutional Fuzzy Neural Network Prediction Approach,Tao Li; Yuyao He; Ning Wang; Jianghua Feng; Weihua Gui; Kaihui Zhao,2021 IEEE Vehicle Power and Propulsion Conference (VPPC),10.1109/vppc53923.2021.9699325,12,https://openalex.org/W4211068391,,,21.12
81,2021,Cascaded Random Fourier Filter for Robust Nonlinear Active Noise Control,Yingying Zhu; Haiquan Zhao; Xiaoqiong He; Zeliang Shu; Badong Chen,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2021.3126943,32,https://openalex.org/W3213828748,,,21.32
82,2021,Deep ANC: A deep learning approach to active noise control,Hao Zhang; DeLiang Wang,Neural Networks,10.1016/j.neunet.2021.03.037,122,https://openalex.org/W3141042598,,,116.22
83,2021,Flower Pollination Heuristics for Nonlinear Active Noise Control Systems,Wasim Khan; Yigang He; Muhammad Asif Zahoor Raja; Naveed Ishtiaq Chaudhary; Zeshan Aslam Khan; Syed Muslim Shah,"Computers, materials & continua/Computers, materials & continua (Print)",10.32604/cmc.2021.014674,10,https://openalex.org/W3118510541,https://www.techscience.com/cmc/v67n1/41209/pdf,,20.6
84,2021,Nonlinear Neural System for Active Noise Controller to Reduce Narrowband Noise,Minh-Canh Huynh; Cheng‐Yuan Chang,Mathematical Problems in Engineering,10.1155/2021/5555054,7,https://openalex.org/W3171682023,https://downloads.hindawi.com/journals/mpe/2021/5555054.pdf,,20.57
85,2022,A Decoupling Algorithm Based on PID Neural Network for Multi-Channel Active Noise Control of Nonstationary Noise,Xuechun Wu; Yansong Wang; Hui Guo; Tao Yuan; Pei Sun; Lihui Zheng,The International Journal of Acoustics and Vibration,10.20855/ijav.2022.27.21835,4,https://openalex.org/W4283820938,https://doi.org/10.20855/ijav.2022.27.21835,085_2022_Wu_a_decoupling_algorithm_based_on_pid_neural_network_for_multi_channel_a.pdf,20.54
86,2022,A Hybrid SFANC-FxNLMS Algorithm for Active Noise Control Based on Deep Learning,Zhengding Luo; Dongyuan Shi; Woon‐Seng Gan,IEEE Signal Processing Letters,10.1109/lsp.2022.3169428,64,https://openalex.org/W4226214458,https://arxiv.org/pdf/2208.08082,086_2022_Luo_a_hybrid_sfanc_fxnlms_algorithm_for_active_noise_control_based_on_deep.pdf,23.14
87,2022,An Integration Development of Traditional Algorithm and Neural Network for Active Noise Cancellation,Yihang Jiang; Hongqing Liu; Yi Zhou; Zhen Luo,,10.1109/mlsp55214.2022.9943441,2,https://openalex.org/W4312457638,,,20.52
88,2022,Deep MCANC: A deep learning approach to multi-channel active noise control,Hao Zhang; DeLiang Wang,Neural Networks,10.1016/j.neunet.2022.11.029,50,https://openalex.org/W4310235760,,,117.0
89,2022,Interpolated Individual Weighting Subband Volterra Filter for Nonlinear Active Noise Control,Yi Yu; Lu Lu; Zongsheng Zheng; Xiaomin Yang,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2022.3211280,17,https://openalex.org/W4312228506,,,24.17
90,2022,Novel Adaptive Fuzzy Feedback Neural Network Controller for Narrowband Active Noise Control System,Minh-Canh Huynh; Cheng‐Yuan Chang,IEEE Access,10.1109/access.2022.3167402,4,https://openalex.org/W4226092094,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09757171.pdf,,25.54
91,2023,A combined method for multi-channel active noise control based on online adaptive estimation and offline convolutional neural network,Qinxuan Xiang; Yijing Chu; Ming Wu; Guangzheng Yu,The Journal of the Acoustical Society of America,10.1121/10.0022860,0,https://openalex.org/W4389102687,,,20.5
92,2023,Clustering-Sparse Nyström Adaptive Filter-Based Nonlinear Distributed Active Noise Control System,Yingying Xiao; Qiangqiang Zhang; Yunfei Zheng; Junhui Qian; Shiyuan Wang,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2023.3347271,5,https://openalex.org/W4390357568,,,22.55
93,2023,Delayless Generative Fixed-Filter Active Noise Control Based on Deep Learning and Bayesian Filter,Zhengding Luo; Dongyuan Shi; Woon‐Seng Gan; Qirui Huang,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2023.3337632,37,https://openalex.org/W4389317961,,,22.87
94,2023,Feedback Active Noise Cancellation Using Single Sensor with Deep Learning,Alireza Mostafavi; Young‐Jin Cha,River Publishers eBooks,10.1007/978-3-031-34938-6_7,1,https://openalex.org/W4388846696,,,20.51
95,2023,SFANC with Compensation Filter Based on MEFxDCTLMS Algorithm,Kenya Doi; Yoshinobu Kajikawa,,10.1109/apsipaasc58517.2023.10317110,5,https://openalex.org/W4388820381,,,19.05
96,2023,Transferable Latent of CNN-Based Selective Fixed-Filter Active Noise Control,Dongyuan Shi; Woon‐Seng Gan; Bhan Lam; Zhengding Luo; Xiaoyi Shen,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2023.3261757,32,https://openalex.org/W4385486692,,,19.82
97,2024,Active noise cancellation using hybrid CNN-LSTM classification and genetic algorithm-based community detection extraction with LMS noise filtering process,V.D.M. Jabez Daniel; C. Mythili,Noise Control Engineering Journal,10.3397/1/377242,1,https://openalex.org/W4405756665,,,22.01
98,2024,An Adaptive Neuro Fuzzy Network for Nonlinear Active Noise Control Systems,Nguyen Thi Trung Tin; Jing Na; Nguyen Le Thai; Yingbo Huang; Gengen Li,,10.23919/ccc63176.2024.10662675,0,https://openalex.org/W4402569211,,,22.0
99,2024,Attention-based convolutional neural network for multi-channel active noise control,Deepali Singh; Rinki Gupta; Arun Kumar; Rajendar Bahl,NOISE-CON proceedings,10.3397/in_2024_3971,1,https://openalex.org/W4403264625,,,20.51
100,2024,Charbonnier Quasi Hyperbolic Momentum Spline Based Incremental Strategy for Nonlinear Distributed Active Noise Control,Rajapantula Kranthi; no-firstname Vasundhara; Asutosh Kar; Mads Græsbøll Christensen,IEEE Open Journal of Signal Processing,10.1109/ojsp.2024.3501774,5,https://openalex.org/W4404562697,,,19.55
101,2024,GFANC-RL: Reinforcement Learning-based Generative Fixed-filter Active Noise Control,Zhengding Luo; Haozhe Ma; Dongyuan Shi; Woon‐Seng Gan,Neural Networks,10.1016/j.neunet.2024.106687,11,https://openalex.org/W4402284121,,,115.11
102,2025,A New Hybrid Adaptive Self-Loading Filter and GRU-Net for Active Noise Control in a Right-Angle Bending Pipe of an Air Conditioner,Wenzhao Zhu; Zhou Gu; Xiaoling Chen; Ping Xie; Lei Luo; Zonglong Bai,Sensors,10.3390/s25206293,0,https://openalex.org/W4415051139,https://www.mdpi.com/1424-8220/25/20/6293/pdf?version=1760110962,,119.0
103,2025,Deep learning-based Generative Fixed-Filter Active Noise Control: Transferability and implementation,Zhengding Luo; Junwei Ji; Boxiang Wang; Dongyuan Shi; Haozhe Ma; Woon‐Seng Gan,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2025.113207,6,https://openalex.org/W4413423516,,,115.06
104,2025,Meta-learning-based delayless subband adaptive filter using complex self-attention for active noise control,Pengxing Feng; Hing Cheung So,Neurocomputing,10.1016/j.neucom.2025.130637,4,https://openalex.org/W4411660343,,,111.54
105,2025,Neuro-Fuzzy Network-Based Nonlinear Hybrid Active Noise Control Systems,Thi Trung Tin Nguyen; Jing Na; Le Thai Nguyen; Xian Wang,Entropy,10.3390/e27020138,4,https://openalex.org/W4406913846,,,119.04
106,2025,WaveNet-Volterra Neural Network for active noise control: A fully causal approach,Lu Bai; Siyuan Lian; Mengtong Li; Yiming He; Li Rao; Xiaofeng Zeng; Ruquan Sun; Kai Chen; Jing Lü,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2025.113486,3,https://openalex.org/W4415037925,,,118.03
107,2026,An Error Innovation-based Adaptive Kalman Filter for multi-channel Active Noise Control,Tahmida Islam; Miguel Ferrer; Maria de Diego; Alberto Gonzalez,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114113,1,https://openalex.org/W7133322243,,,15.01
108,2026,Hybrid deep learning–based active noise control for encapsulated structures with openings,Alkahf Aboutiman; Khaled Said Ahmed Maamoun; Hamid Reza Karimi; Francesco Ripamonti,Expert Systems with Applications,10.1016/j.eswa.2026.131247,0,https://openalex.org/W7124456593,,,23.5
109,2026,Robust momentum conjugate gradient filter with M-estimation for nonlinear active noise control,Wenxing Yang; Kaili Yin; Li Lü; Guokai Zhang; Min Ji,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114126,0,https://openalex.org/W7135029448,,,15.0
110,2026,TCN-KAN: A Parameter-Efficient and Causal Neural Network for Nonlinear Active Noise Control,Chengnan Li; Jiahao Zhuang; Geguo Du; Jie Yang,,10.1109/iceaai68945.2026.11442464,0,https://openalex.org/W7141752519,,,20.5
